"Word","SimWord","Polarity","MqapWordStrength","MqapSimStrength","WordScore","SimScore","MqapCmp","PredictedCmpInformal","category.coef","category.p","interaction.coef","interaction.p","PredictedCmpFormal"
"abhorrent/a","offensive/a","negative",2,1,-0.772227022396,-1.24321378399,"stronger","weaker",-1.64908500333080,0.00000000000000000243954754875561,-0.119916208224542,0.422993492569966,"same"
"abominable/a","bad/a","negative",2,2,-1.32230333847,-1.07821423547,"same","stronger",-2.27542203532358,0.000000000000000000000000423442861012202,0.701062029591027,0.0000000000446568118691417,"weaker"
"abrasive/a","disagreeable/a","negative",2,2,-0.755375120572,-0.814827271142,"same","weaker",-1.13347451114988,0.036598620706413,-0.268974215926312,0.201627884275435,"same"
"absurd/a","illogical/a","negative",2,2,-1.02991408174,-1.06340509146,"same","weaker",-1.36143640857670,2.15357036330405e-57,-0.898206535420032,0.00000000000000000000000000000000000000000000000000000103948905588949,"stronger"
"absurd/a","foolish/a","negative",2,2,-1.02991408174,-0.334651921895,"same","stronger",-1.35826348374456,0.0000000000000000112599554351907,0.346415267626106,0.00000000300632992707892,"weaker"
"abusive/a","offensive/a","negative",2,1,-0.702788118113,-1.24321378399,"stronger","weaker",-0.693623525307074,0.00452108947449532,-1.23588596882411,2.29524263347615e-97,"stronger"
"adaptable/a","universal/a","positive",1,1,0.868340986625,0.861505146646,"same","stronger",0.756281255685693,0.0487533186980962,0.275392636791683,0.370378410327975,"same"
"adorable/a","lovable/a","positive",2,2,0.836984860055,1.20680311501,"same","weaker",1.59831667221421,0.000120852170777582,-0.315801018362786,0.000000500271016022672,"weaker"
"affable/a","friendly/a","positive",2,2,0.786906926814,0.704636641247,"same","stronger",-0.451434576080015,0.240773832015237,1.28753603533478,0.000000000000000000000000000621409675527167,"same"
"affluent/a","rich/a","positive",1,1,0.41915359195,0.504589569974,"same","weaker",0.881316431285657,0.000285044411623470,-0.295523864304598,0.0158868727065743,"weaker"
"alert/a","aware/a","neutral",1,2,0,0,"weaker","same",-0.450901938018092,0.0261841009677192,0.498243747331175,0.0000000168415953518039,"weaker"
"alluring/a","seductive/a","positive",2,2,0.692391587365,0.483650265944,"same","stronger",0.639760441368724,0.0327283551599589,0.1371392459863,0.200609535292989,"same"
"amazing/a","impressive/a","positive",2,2,1.2159593416,0.31535487379,"same","stronger",3.01153841427873,0.00000000000000000000000000000000000000000000880472208687796,-2.20521760689157,0,"weaker"
"ample/a","wide/a","positive",1,1,0.628751464625,0.579040972862,"same","stronger",0.582786959143392,0.0117164558984706,0.119357987550599,0.0598151827481891,"same"
"anemic/a","weak/a","negative",1,1,-1.46214697948,-0.896630145134,"same","stronger",-2.20306309527347,0.000000000000232452029944632,0.744305247780727,0.000000315702883795378,"weaker"
"angry/a","irate/a","negative",2,2,-0.943641032063,-1.82160317752,"same","weaker",-1.43852121333803,0.000473806908401986,0.295725412461919,0.148269586673763,"same"
"angry/a","livid/a","negative",2,2,-0.943641032063,-2.04494187138,"same","weaker",-1.46981274960697,0.00153082558267384,-0.230958602203456,0.301163630526466,"same"
"annoying/a","disagreeable/a","negative",2,2,-1.01728492404,-0.814827271142,"same","stronger",-1.64854587619422,0.000000000000000000631374762767592,1.10523136171218,0.000000000549302621256227,"weaker"
"arresting/a","impressive/a","positive",2,2,1.64992047889,0.31535487379,"same","stronger",0.500481316078988,0.098918272415739,-0.0968568687204005,0.616970658235667,"same"
"artificial/a","fake/a","negative",1,2,-0.451667110309,-0.884336531965,"weaker","weaker",-0.565773037878936,0.00000000000000000000000000000000000000120178308048774,-0.704461919565632,0.000000000000000000000000000000000000000000000000321701471025642,"stronger"
"asinine/a","foolish/a","negative",2,2,-1.7649434727,-0.334651921895,"same","stronger",-2.18313316385374,0.000000000000000000000000000000000536962323920353,1.67297550169077,0.000000000000000000000000000585803204467792,"weaker"
"astonishing/a","impressive/a","positive",2,2,0.742181986334,0.31535487379,"same","stronger",1.78384911864925,0.000000000000000142658681856990,-1.39836560007808,4.13754310957402e-132,"weaker"
"astounding/a","incredible/a","positive",2,2,0.554971071847,1.09527016702,"same","weaker",2.17468036638736,0.000000108991742279243,0.498259723158008,0.000000000000000109572427691893,"stronger"
"astounding/a","impressive/a","positive",2,2,0.554971071847,0.31535487379,"same","stronger",1.80058808280632,0.0000000000000000000880476216946035,-1.43134405811225,6.77262724925587e-125,"weaker"
"atrocious/a","evil/a","negative",2,2,-2.49763385963,-0.34302123907,"same","stronger",-4.25593412747572,0.000000449366876187931,2.97930586353442,0,"weaker"
"atrocious/a","bad/a","negative",2,2,-2.49763385963,-1.07821423547,"same","stronger",-3.06000136218639,0.0000000000000000000000000000000000000000000000000000557691158807861,1.48573543621445,1.9761892148219e-246,"weaker"
"authentic/a","genuine/a","positive",1,1,0.506503396399,0.666676591174,"same","weaker",0.881252730835037,0.00166802962780311,-0.449249827767264,0.0000000000000000000000000277138099112938,"weaker"
"aware/a","alert/a","neutral",2,1,0,0,"stronger","same",0.0473517901948795,0.79877267230747,-0.498239677379196,0.0000000168462495358908,"same"
"awed/a","reverent/a","positive",2,2,1.32801320777,1.01989985032,"same","stronger",1.85957466202756,0.00000527608317170109,-0.91023474292246,0.000259203431735575,"weaker"
"awesome/a","impressive/a","positive",2,2,1.20006201311,0.31535487379,"same","stronger",2.76490446889758,1.17568731776961e-61,-1.99610152827543,0,"weaker"
"awful/a","bad/a","negative",2,2,-2.17689245398,-1.07821423547,"same","stronger",-3.03437684716816,0.00000000000000000000000000000000000186973900800955,1.43060226157043,0,"weaker"
"awful/a","dirty/a","negative",2,1,-2.17689245398,-1.05609488646,"stronger","stronger",-3.57726291620882,0.00000000000000032940957410025,2.62864480678959,0,"weaker"
"awkward/a","inconvenient/a","negative",2,2,-0.50226095245,-0.676414993938,"same","weaker",-0.989770757118884,0.00000185537524537693,0.231864656336516,0.0805401744570726,"same"
"awkward/a","uncomfortable/a","negative",2,1,-0.50226095245,-0.578214358279,"stronger","weaker",-1.17875713207374,0.00000110546881310375,0.277847199345076,0.00000000000102864073253924,"weaker"
"bad/a","severe/a","negative",2,2,-1.07821423547,-0.31394385496,"same","stronger",-1.57411544566685,0.000000000000000439842332390171,1.18115689210113,5.7318593696915e-140,"weaker"
"bad/a","poor/a","negative",2,1,-1.07821423547,-1.52846650985,"stronger","weaker",-1.75142033001197,0.00000000248056193797469,-0.114256712973855,0.000000000000000000000056258925396493,"stronger"
"bad/a","deplorable/a","negative",2,2,-1.07821423547,-1.93366898731,"same","weaker",-1.57708616128269,0.000000000000000271469048303533,-0.404605693042954,0.000131832605712487,"stronger"
"bad/a","atrocious/a","negative",2,2,-1.07821423547,-2.49763385963,"same","weaker",-1.57426862222545,0.000000000000000652264237010134,-1.48573627218479,1.97523977851887e-246,"stronger"
"bad/a","horrid/a","negative",2,2,-1.07821423547,-1.71582197335,"same","weaker",-1.57436398439120,0.000000000000000251475449677075,-0.783883047094765,4.22191284452337e-57,"stronger"
"bad/a","incompetent/a","negative",2,2,-1.07821423547,-2.21592811128,"same","weaker",-1.58432813415897,0.000000000000000116992916095151,-0.266436991826358,0.000000522159690854534,"stronger"
"bad/a","mediocre/a","negative",2,2,-1.07821423547,-1.65127987691,"same","weaker",-1.69951702708006,0.000000000258714196671137,-0.162182748807415,0.000000000000000303765491860252,"stronger"
"bad/a","uncomfortable/a","negative",2,1,-1.07821423547,-0.578214358279,"stronger","stronger",-1.59082310421875,0.0000000000000000115226441431764,1.28434805946522,0,"weaker"
"bad/a","stale/a","negative",2,2,-1.07821423547,-1.35946686083,"same","weaker",-1.59540108241069,0.000000000000000114204947858932,0.123138086435963,0.00609260689487573,"weaker"
"bad/a","invalid/a","negative",2,2,-1.07821423547,-0.777803173161,"same","stronger",-1.57682983598103,0.000000000000000169099990274717,1.84148484410436,0.000000000000000000000000000000000000000165252097872087,"weaker"
"bad/a","inferior/a","negative",2,2,-1.07821423547,-0.775238893866,"same","stronger",-1.58497631467114,0.000000000000000111822393986709,1.07592472413449,7.98934257925521e-128,"weaker"
"bad/a","evil/a","negative",2,2,-1.07821423547,-0.34302123907,"same","stronger",-1.66778251525022,0.00000000000000000793811028396496,1.50179744870323,0,"weaker"
"balanced/a","harmonious/a","positive",1,2,0.714502772786,0.839266939957,"weaker","weaker",0.867677218203105,0.00664153907031592,0.173116979618601,0.426524628821632,"same"
"baseless/a","unsupported/a","negative",2,1,-1.35970010225,-1.81162196578,"stronger","weaker",-1.74502463642903,0.000961155819133573,-1.58950220074573,0.00000655441288438358,"stronger"
"beautiful/a","lovely/a","positive",2,2,1.16840650444,0.833772491772,"same","stronger",1.47325981031953,0.00000000000000000659369793129648,-0.319121321291299,0.000000000000000000000000000000000000000000000386550099244083,"weaker"
"beautiful/a","exquisite/a","positive",2,2,1.16840650444,1.91656530479,"same","weaker",1.53033568471545,0.000000000000000000215297398146675,1.49817299151218,2.86624942699010e-115,"stronger"
"beautiful/a","gorgeous/a","positive",2,2,1.16840650444,0.96222516363,"same","stronger",1.54532328572548,0.000000000000000310680541853273,-0.508325416851937,5.98625411537073e-82,"weaker"
"beautiful/a","stunning/a","positive",2,2,1.16840650444,1.34869003169,"same","weaker",1.49215942299415,0.000000000000000000000789312745582812,0.196746121412473,0.0000000000000314229436372259,"stronger"
"beautiful/a","glorious/a","positive",2,2,1.16840650444,0.542964769827,"same","stronger",1.50666014619050,0.0000000000000000000028784890671511,-0.330661591873871,0.000000000202076427367612,"weaker"
"beautiful/a","pleasant/a","positive",2,1,1.16840650444,0.573700391045,"stronger","stronger",1.32699041027530,0.000000000000000000000000000764484718570551,-0.808583322846813,2.02637269257927e-258,"weaker"
"best/a","solid/a","positive",2,1,0.560404429891,0.64001503512,"stronger","weaker",1.54874851245490,0.000000000000000000000000000000000218446938127062,-0.99829232404721,0,"weaker"
"best/a","superb/a","positive",2,2,0.560404429891,1.9701462314,"same","weaker",1.52640781344812,0.00000000000000000000000320987783942181,1.39615464965486,0,"stronger"
"best/a","ample/a","positive",2,1,0.560404429891,0.628751464625,"stronger","weaker",1.54367397623175,0.00000000000000000000000000000000129765922487655,-0.92310529380722,7.25920280962138e-59,"weaker"
"best/a","nice/a","positive",2,2,0.560404429891,0.32094112479,"same","stronger",1.28168410947446,7.4420578660939e-60,-1.22384128852610,0,"weaker"
"best/a","fortunate/a","positive",2,2,0.560404429891,1.33055835735,"same","weaker",1.54803549333543,0.000000000000000000000000000000331642300959356,0.217656336523643,0.000962423397832655,"stronger"
"best/a","healthful/a","positive",2,2,0.560404429891,0.747794901289,"same","weaker",1.54683551368762,0.0000000000000000000000000000000332557905904594,-0.0194414905109446,0.965327716256046,"same"
"best/a","genuine/a","positive",2,1,0.560404429891,0.666676591174,"stronger","weaker",1.56425473014564,0.00000000000000000000000000000197437720486711,-0.952115715099394,2.45223154099583e-289,"weaker"
"best/a","fresh/a","positive",2,1,0.560404429891,0.749199387059,"stronger","weaker",1.50527543679885,0.000000000000000000000000000000000000250555094051123,-0.218354454248095,0.00000000000000000000000000000995405280522799,"weaker"
"bewildered/a","perplexed/a","negative",2,2,-1.01737183676,-0.744758070825,"same","stronger",-1.32129194979914,0.00214548908981532,-0.0677347231023087,0.7220875287291,"same"
"big/a","massive/a","neutral",1,1,0,0,"same","same",-0.198235123173289,0.464579547772182,-0.035787039597837,0.232771245805027,"same"
"big/a","massive/a","neutral",1,1,0,0,"same","same",-0.198235123173289,0.464579547772182,-0.035787039597837,0.232771245805027,"same"
"big/a","gigantic/a","neutral",1,1,0,0,"same","same",-0.196119706499664,0.473480230918009,-0.209281577385992,0.000115522335287645,"same"
